,,,,,
,October 2025,,,,
,Name,Description,URL,Industry,Stage
,,,,,
,Automax AI,AI Assistants For Real Estate Appraisers,automax.ai,Proptech,Pre-Seed
,Barker,Insurance Pricing Data Fintech,thebarkerprice.com,Financial Services,Seed
,Bluespine,AI Platform For Health Insurance Claim Review And Oversight,bluespine.io,Healthtech,Seed
,Cardinal Gray,AI Titling Tools For Auto Lenders,cardinalgray.com,Financial Services,Seed
,Case Health,AI Automation For Health Plan Authorizations,casehealth.ai,Healthtech,Pre-Seed
,Casey,AI Automation For Commercial Insurance Proposals,meetcasey.ai,Insuretech,Pre-Seed
,Coral,Sustainable Building Upgrade Access Platform,startcoral.com,SMB Enablement,Seed
,cycles.money,Decentralized Clearing And Settlement Platform,cycles.money,Financial Services,Seed
,Dunly,AI Agents For Enterprise Payments,dunly.ai,Financial Services,Seed
,Fernstone,Insurance Platform For Fast-Moving Businesses,fernstone.ai,Insuretech,Pre-Seed
,Fundamento,AI Voice Agents For Banks,fundamento.ai,Financial Services,Seed
,Govra,AI Platform For Government Operations,govra.com,Misc,Seed
,Hashfire,Smart Contract Transformation For Receivables,hashfire.xyz,Web3/Blockchain,Seed
,Hisabba,Health Tech Infrastructure For Next-Gen Care,hisabba.com,Insuretech,Seed
,Loanlabs,AI Loan Processing Platform,loanlabs.ai,Proptech,Pre-Seed
,Locus,B2B Agentic Payments Platform,paywithlocus.com,Financial Services,Pre-Seed
,Loom Health,HIPAA-Compliant AI Workflow Agent For Clinics,askloom.com,Healthtech,Pre-Seed
,Meela,Personalized AI Voice Companion For Seniors,meela.ai,Healthtech,A
,Mulligan,AI Platform For Insurance Brokers,usemulligan.com,Insuretech,Seed
,Paygentic,AI Native Billing And Payments Platform,paygentic.io,Financial Services,Seed
,PixieDust AI,Sales Automation For Small Business Lenders,pixiedustai.com,SMB Enablement,Seed
,Prefix,Repair And Maintenance Software For Restaurants,useprefix.com,SMB Enablement,Seed
,Raise Financial,401K Investment Leveraging Platform,raisefinancial.com,Financial Services,Seed
,Reveel,Payment Infrastructure For The Collaboration Economy,reveel.id,Web3/Blockchain,Seed
,Rosie,AI And Human Childcare Platform,rosiematch.com,Misc,Pre-Seed
,Routesense,Smarter Payments Platform For Risk Management,routesense.ai,Financial Services,Pre-Seed
,Scam AI,AI Scam Detection And Deepfake Defense,scam.ai,Financial Services,Pre-Seed
,SilkRoute AI,AI Procurement And Supply Chain Platform,silkroute.ai,Financial Services,Seed
,Somethings,Wellness Platform Connecting Youth With Mentors,somethings.com,Healthtech,Seed
,Sorce,Job Matching Platform,sorce.jobs,SMB Enablement,Pre-Seed
,Tesser,Stablecoin Payment Infrastructure,tesser.xyz,Financial Services,Seed
,Tufa,Investment Platform For Home Purchases Using Savings,withtufa.com,Proptech,Pre-Seed
,Upfront,Financial Platform For Residential Real Estate,myupfront.com,Proptech,Seed
,Valerie Health,AI Workflow Automation For Clinicians,valeriehealth.com,Healthtech,A
